date,Job Openings: Total Nonfarm Period Chg,Hires: Total Nonfarm Period Chg,Total Separations: Total Nonfarm Period Chg,Quits: Total Nonfarm Period Chg,Layoffs and Discharges: Total Nonfarm Period Chg
2007-04-01,-5.5,-2.3,0.8,-2.87,6.27
2007-05-01,-0.68,2.17,0.47,3.4,-1.65
2007-06-01,4.34,-3.69,-3.68,-3.32,-6.2
2007-07-01,-5.37,-0.95,2.29,1.41,2.76
2007-08-01,-1.13,2.7,3.0,2.13,7.23
2007-09-01,2.33,-0.26,-3.44,-10.72,7.62
2007-10-01,-0.34,1.01,1.06,8.73,-8.68
2007-11-01,0.22,-4.11,-2.55,-4.85,-1.6
2007-12-01,-2.17,-1.1,-1.43,-0.4,-2.59
2008-01-01,1.74,-0.94,2.06,2.67,3.86
2008-02-01,-7.46,0.12,1.36,1.19,0.3
2008-03-01,-1.26,-3.01,-5.35,-7.64,-3.86
2008-04-01,-4.5,0.49,4.6,6.61,2.09
2008-05-01,3.94,-5.19,-6.1,-8.11,-0.41
2008-06-01,-8.68,4.31,4.31,-0.46,11.38
2008-07-01,-2.11,-5.23,-4.27,-4.08,-4.65
2008-08-01,-2.0,0.97,3.32,-1.77,5.75
2008-09-01,-12.3,-3.91,-2.08,0.94,-4.66
2008-10-01,4.81,1.09,1.29,-4.9,7.76
2008-11-01,-4.32,-9.76,-2.94,-8.1,1.78
2008-12-01,-2.63,5.95,1.16,-3.38,8.38
2009-01-01,-12.97,-5.82,-0.21,-5.18,3.99
2009-02-01,4.6,-0.83,-0.27,-1.21,0.7
2009-03-01,-11.52,-5.0,-2.72,-6.05,-0.92
2009-04-01,-9.43,0.78,-0.64,-6.65,3.07
2009-05-01,11.07,-3.34,-10.62,-1.69,-15.94
2009-06-01,-1.8,-3.17,1.0,0.12,1.34
2009-07-01,-10.83,5.99,0.02,0.0,0.27
2009-08-01,4.75,-1.22,-5.9,-7.72,-6.53
2009-09-01,6.37,3.52,3.54,4.63,3.59
2009-10-01,-3.26,-2.69,-3.15,2.03,-7.61
2009-11-01,4.03,4.85,0.15,9.04,-5.67
2009-12-01,2.6,-0.5,2.42,-2.43,6.27
2010-01-01,10.48,-2.5,-3.88,-1.36,-7.53
2010-02-01,-6.03,-1.02,1.8,5.86,-2.93
2010-03-01,0.49,11.34,1.94,0.65,5.42
2010-04-01,17.69,-3.32,-3.52,2.21,-9.1
2010-05-01,-5.23,6.28,-0.53,-4.43,0.74
2010-06-01,-6.26,-6.99,9.86,5.41,17.76
2010-07-01,10.03,1.26,-0.97,-6.59,4.39
2010-08-01,-2.69,-2.81,-5.04,3.19,-12.74
2010-09-01,-2.7,-0.3,-0.22,2.88,-3.07
2010-10-01,10.86,3.45,-3.98,-2.59,-4.75
2010-11-01,-0.74,0.22,4.71,2.22,5.96
2010-12-01,-4.76,2.8,1.84,4.77,0.27
2011-01-01,1.5,-6.96,-3.4,-7.33,-1.46
2011-02-01,3.93,5.78,0.9,6.88,-3.94
2011-03-01,1.08,4.7,2.6,3.83,2.22
2011-04-01,-0.06,-3.02,-3.65,-7.43,-0.11
2011-05-01,-2.45,-0.81,4.96,4.41,6.25
2011-06-01,8.68,2.46,-0.38,-2.14,2.0
2011-07-01,4.86,-2.4,-0.48,3.28,-4.99
2011-08-01,-8.11,0.87,0.48,2.27,0.0
2011-09-01,13.37,3.05,0.84,0.49,1.46
2011-10-01,-4.11,-1.33,-1.38,-2.16,-4.17
2011-11-01,-1.49,-0.11,2.82,2.1,6.58
2011-12-01,5.69,-0.21,-4.29,-2.84,-5.81
2012-01-01,3.74,2.32,1.81,2.47,-0.22
2012-02-01,-7.5,2.31,4.59,4.93,5.9
2012-03-01,10.04,0.33,-1.66,1.74,-6.25
2012-04-01,-4.67,-4.07,1.31,-1.52,5.38
2012-05-01,1.11,3.28,2.4,0.19,4.73
2012-06-01,1.98,-2.05,-1.24,0.65,-3.91
2012-07-01,-4.5,-2.55,-5.27,-3.72,-8.99
2012-08-01,1.98,2.84,4.02,-0.14,9.99
2012-09-01,1.92,-3.33,-5.23,-5.75,-4.7
2012-10-01,-2.76,2.02,4.13,4.36,4.76
2012-11-01,2.73,2.28,2.02,2.11,1.59
2012-12-01,2.37,-0.82,-5.27,-1.3,-11.5
2013-01-01,-1.18,0.79,5.56,11.17,-1.29
2013-02-01,2.06,1.87,-1.24,0.79,-0.83
2013-03-01,1.8,-4.42,-1.21,-7.57,7.39
2013-04-01,-2.16,4.65,4.27,8.1,0.34
2013-05-01,3.94,1.99,0.45,-2.7,2.4
2013-06-01,0.12,-4.78,-3.04,-1.39,-4.08
2013-07-01,-6.39,2.73,2.65,7.26,-2.73
2013-08-01,5.15,3.71,1.63,-1.99,6.01
2013-09-01,1.05,-0.08,0.58,-0.6,4.19
2013-10-01,2.28,-4.4,-3.74,3.04,-11.47
2013-11-01,-2.44,2.3,0.39,0.8,-2.69
2013-12-01,0.05,-0.17,0.57,-4.35,8.59
2014-01-01,0.15,0.26,0.98,1.05,2.03
2014-02-01,5.96,1.51,2.57,4.33,-2.16
2014-03-01,0.34,1.43,-0.68,1.58,-3.62
2014-04-01,4.06,2.46,1.75,1.02,3.58
2014-05-01,3.96,-1.48,-0.54,0.36,-3.06
2014-06-01,4.95,2.43,0.87,0.97,2.98
2014-07-01,-2.73,1.69,2.95,5.03,1.14
2014-08-01,10.38,-3.95,-2.63,-3.19,-4.6
2014-09-01,-8.13,7.05,5.02,7.18,1.12
2014-10-01,1.99,-0.74,1.69,-0.51,6.81
2014-11-01,-3.37,-2.6,-5.17,-4.34,-5.94
2014-12-01,5.93,4.3,3.1,-1.85,7.59
2015-01-01,4.17,-2.52,1.22,8.31,-3.66
2015-02-01,2.28,1.3,-0.35,-0.83,-1.79
2015-03-01,-4.68,-0.02,4.79,0.47,12.29
2015-04-01,7.45,1.37,-3.1,-1.78,-5.93
2015-05-01,-0.63,-1.04,-2.41,1.4,-7.81
2015-06-01,-5.66,-0.33,3.17,0.47,6.43
2015-07-01,15.4,0.49,-2.61,0.29,-6.48
2015-08-01,-9.73,0.25,3.8,4.16,4.11
2015-09-01,0.38,2.4,1.55,-3.51,10.77
2015-10-01,5.19,0.96,-1.53,1.15,-6.06
2015-11-01,-1.13,0.37,1.13,3.1,-3.58
2015-12-01,2.4,3.4,2.67,5.49,1.35
2016-01-01,2.86,-5.78,-2.41,-5.92,0.11
2016-02-01,-4.03,4.79,3.26,4.14,4.93
2016-03-01,6.22,-2.03,-2.51,-2.57,-2.32
2016-04-01,-5.32,-1.21,-0.45,1.3,-4.27
2016-05-01,-0.45,-1.83,1.29,1.83,3.05
2016-06-01,-0.61,1.62,-1.12,0.3,-4.11
2016-07-01,3.83,2.75,-1.04,-1.69,0.51
2016-08-01,-4.78,-1.82,2.74,1.04,5.74
2016-09-01,3.36,-0.39,-4.21,1.63,-14.62
2016-10-01,-4.72,-1.81,2.81,0.89,4.79
2016-11-01,6.8,1.88,0.27,-1.56,5.23
2016-12-01,-0.12,0.66,-1.32,-1.22,-2.46
2017-01-01,-5.82,2.92,4.91,6.66,2.17
2017-02-01,5.45,-2.71,-2.71,-3.11,-1.95
2017-03-01,-1.89,0.84,2.01,1.97,2.98
2017-04-01,4.82,-2.28,-3.58,-3.87,-2.95
2017-05-01,-4.35,3.89,3.52,2.74,4.91
2017-06-01,8.22,2.88,3.66,1.38,9.81
2017-07-01,-1.06,-2.45,-2.29,-1.81,-3.05
2017-08-01,0.61,0.4,-0.07,0.19,-2.2
2017-09-01,0.7,-1.25,-0.84,2.8,-4.34
2017-10-01,1.39,2.4,2.04,0.91,2.8
2017-11-01,-2.14,-1.56,-2.11,-1.03,-4.9
2017-12-01,1.04,-1.33,-0.64,1.13,-0.86
2018-01-01,4.5,1.68,0.74,-6.3,11.55
2018-02-01,-1.04,2.03,0.59,6.72,-8.33
2018-03-01,4.06,-0.02,3.4,3.13,1.36
2018-04-01,0.87,-0.59,-1.07,1.41,-3.79
2018-05-01,2.02,4.81,0.94,0.36,2.78
2018-06-01,3.05,-1.69,1.35,0.0,2.65
2018-07-01,-0.55,-1.93,0.2,1.3,-0.88
2018-08-01,0.25,2.94,-0.61,-0.09,-0.17
2018-09-01,2.82,-3.27,-0.88,-0.93,-2.16
2018-10-01,-1.44,5.01,1.97,1.98,2.78
2018-11-01,3.97,-1.37,3.41,1.53,6.89
2018-12-01,-1.38,-1.0,-4.13,-2.96,-5.11
2019-01-01,0.17,0.31,-0.09,3.23,-7.29
2019-02-01,-5.81,-1.42,1.87,0.85,3.4
2019-03-01,3.55,-0.26,-1.95,-0.51,-4.14
2019-04-01,-0.62,5.75,4.22,-0.79,16.15
2019-05-01,0.04,-5.49,-3.83,-0.83,-9.58
2019-06-01,-1.11,2.02,0.32,0.06,0.28
2019-07-01,-2.11,1.21,4.75,5.18,2.98
2019-08-01,1.93,0.49,-3.12,-3.12,-1.36
2019-09-01,-0.75,1.07,1.73,-2.63,8.96
2019-10-01,2.32,-3.05,-2.15,0.15,-7.66
2019-11-01,-5.5,1.14,0.78,2.58,-2.03
2019-12-01,-2.74,1.78,1.69,-1.52,8.36
2020-01-01,6.34,0.5,-0.52,2.18,-6.37
2020-02-01,-2.22,0.15,0.4,-1.85,8.08
2020-03-01,-15.39,-13.67,182.36,-16.13,564.53
2020-04-01,-21.85,-22.08,-29.15,-32.12,-29.38
2020-05-01,21.84,101.86,-59.08,13.46,-76.67
2020-06-01,9.21,-8.07,9.71,14.83,4.96
2020-07-01,6.54,-15.47,0.29,16.42,-18.62
2020-08-01,-1.55,-5.0,-7.28,-2.95,-14.61
2020-09-01,1.28,-0.63,6.44,8.67,0.45
2020-10-01,4.41,2.1,4.55,3.96,8.3
2020-11-01,0.32,-3.23,5.13,-3.08,23.57
2020-12-01,-0.69,-5.38,-0.53,4.99,-9.11
2021-01-01,5.74,0.38,-8.14,-2.29,-17.79
2021-02-01,9.29,3.84,3.58,2.46,3.89
2021-03-01,8.59,5.93,2.98,8.33,-7.86
2021-04-01,9.97,-0.32,3.84,7.91,-6.53
2021-05-01,6.51,-2.56,-3.23,-3.2,-3.64
2021-06-01,3.67,9.26,4.1,5.24,-1.18
2021-07-01,6.43,2.83,1.34,1.05,5.62
2021-08-01,-1.01,-4.85,0.98,2.76,-5.53
2021-09-01,-0.35,3.72,4.14,4.39,5.93
2021-10-01,3.73,0.69,-4.28,-4.62,-6.95
2021-11-01,-0.35,3.49,5.74,7.22,2.67
2021-12-01,2.87,-3.26,-1.44,-3.12,4.08
2022-01-01,-2.69,-3.81,2.36,2.29,1.43
2022-02-01,4.35,5.75,-4.18,-4.08,-1.55
2022-03-01,5.15,-2.68,3.26,5.06,-1.71
2022-04-01,-3.58,-1.37,-0.7,1.17,-4.72
2022-05-01,-2.75,-1.35,-0.96,-5.82,14.33
2022-06-01,-2.18,0.73,-0.66,-1.7,1.87
2022-07-01,2.6,-0.14,-3.31,-3.22,-4.32
2022-08-01,-12.82,-0.46,6.83,5.63,9.85
2022-09-01,7.02,-3.83,-5.64,-2.91,-10.02
2022-10-01,-3.27,-0.81,-1.73,-4.31,7.47
2022-11-01,1.77,0.47,1.68,3.21,-5.22
2022-12-01,2.54,-0.28,2.09,1.03,4.28
2023-01-01,-5.36,3.36,-1.98,-6.93,15.11
2023-02-01,-4.47,-5.98,-2.01,2.03,-13.13
2023-03-01,-2.05,-1.07,3.76,-2.99,23.97
2023-04-01,3.22,-0.83,-6.92,-4.82,-13.08
2023-05-01,-6.0,4.14,4.85,10.56,-6.89
2023-06-01,-2.01,-3.12,-2.74,-7.65,7.66
2023-07-01,-5.7,-4.32,-2.04,-3.82,1.15
2023-08-01,6.9,3.07,1.56,1.94,-0.12
2023-09-01,0.05,-1.25,-2.55,0.64,-8.6
2023-10-01,-7.33,-0.14,0.42,-1.92,6.01
2023-11-01,0.26,-3.99,-0.65,0.06,-4.25
2023-12-01,-0.95,0.87,-1.16,-4.59,8.43
2024-01-01,-1.67,0.14,-1.16,-1.91,-2.61
2024-02-01,0.74,0.48,2.72,4.03,3.11
2024-03-01,-2.77,-2.95,-4.5,-5.54,-2.66
2024-04-01,-8.25,0.31,1.99,4.53,-6.01
2024-05-01,3.36,0.42,1.01,-1.51,12.86
2024-06-01,-4.7,-6.46,-6.31,-3.13,-14.31
2024-07-01,0.13,5.7,6.06,2.41,14.3
2024-08-01,1.27,-4.16,-3.04,-3.54,-1.64
2024-09-01,-7.67,4.29,-1.26,-3.61,5.76
2024-10-01,6.28,-3.67,-0.45,2.95,-7.3
2024-11-01,2.53,-1.4,0.37,-5.13,10.97
2024-12-01,-3.58,2.66,-2.08,1.15,-7.76
2025-01-01,1.86,-1.02,3.8,3.82,2.9
2025-02-01,-2.54,-0.04,0.84,-1.56,7.42
2025-03-01,-4.0,1.85,0.06,9.61,-14.57
2025-04-01,2.1,1.09,-0.34,-9.03,13.98
2025-05-01,2.99,-1.17,0.34,4.55,-8.09
2025-06-01,-1.45,-0.02,2.72,-1.0,10.29
2025-07-01,-1.6,-1.91,-4.82,-3.75,-3.85
2025-08-01,-2.4,-1.53,0.72,-1.18,3.39
2025-09-01,3.61,1.92,-0.88,-3.39,-0.87
2025-10-01,0.01,-1.22,-0.7,-0.33,4.13
2025-11-01,-4.52,-3.11,-1.76,4.66,-12.22
2025-12-01,-4.32,5.04,3.34,3.4,0.36
2026-01-01,10.53,1.42,-1.13,-2.91,-0.36
2026-02-01,-4.94,-9.31,-3.36,-5.01,3.67
