date,Payrolls - New York-Newark-Jersey City (000s) Period Chg,Payrolls - Los Angeles-Long Beach-Anaheim (000s) Period Chg,Payrolls - Chicago-Naperville-Elgin (000s) Period Chg,Payrolls - Dallas-Fort Worth-Arlington (000s) Period Chg,Payrolls - Houston-Pasadena-The Woodlands (000s) Period Chg,Payrolls - Washington-Arlington-Alexandria (000s) Period Chg,Payrolls - Philadelphia-Camden-Wilmington (000s) Period Chg,Payrolls - Atlanta-Sandy Springs-Roswell (000s) Period Chg,Payrolls - Miami-Fort Lauderdale-West Palm Beach (000s) Period Chg,Payrolls - Boston-Cambridge-Newton (000s) Period Chg,Payrolls - Phoenix-Mesa-Chandler (000s) Period Chg,Payrolls - Seattle-Tacoma-Bellevue (000s) Period Chg,Payrolls - Detroit-Warren-Dearborn (000s) Period Chg,Payrolls - Minneapolis-St. Paul-Bloomington (000s) Period Chg,Payrolls - Riverside-San Bernardino-Ontario (000s) Period Chg,Payrolls - Denver-Aurora-Centennial (000s) Period Chg,Payrolls - San Diego-Chula Vista-Carlsbad (000s) Period Chg,Payrolls - Tampa-St. Petersburg-Clearwater (000s) Period Chg,Payrolls - Orlando-Kissimmee-Sanford (000s) Period Chg,Payrolls - Baltimore-Columbia-Towson (000s) Period Chg,Payrolls - Austin-Round Rock-San Marcos (000s) Period Chg,Payrolls - Charlotte-Concord-Gastonia (000s) Period Chg,Payrolls - Portland-Vancouver-Hillsboro (000s) Period Chg,Payrolls - Nashville-Davidson-Murfreesboro-Franklin (000s) Period Chg,Payrolls - Pittsburgh (000s) Period Chg,Payrolls - San Antonio-New Braunfels (000s) Period Chg,"Payrolls - Columbus, OH (000s) Period Chg",Payrolls - Las Vegas-Henderson-North Las Vegas (000s) Period Chg,Payrolls - Cincinnati (000s) Period Chg,Payrolls - Indianapolis-Carmel-Greenwood (000s) Period Chg,Payrolls - Kansas City (000s) Period Chg,Payrolls - Sacramento-Roseville-Folsom (000s) Period Chg,Payrolls - Cleveland (000s) Period Chg,Payrolls - Salt Lake City-Murray (000s) Period Chg,Payrolls - Raleigh-Cary (000s) Period Chg,Payrolls - San Francisco-Oakland-Fremont (000s) Period Chg,Payrolls - San Jose-Sunnyvale-Santa Clara (000s) Period Chg,Payrolls - Santa Rosa-Petaluma (000s) Period Chg,Payrolls - Vallejo (000s) Period Chg,Payrolls - Napa (000s) Period Chg
1990-12-01,-0.28,-0.09,-0.09,0.13,0.49,-0.24,-0.21,-0.38,-0.26,-0.41,-0.44,-0.29,-0.03,-0.14,0.25,0.03,-0.08,-0.02,-0.4,-0.25,0.35,-0.14,-0.01,-0.07,-0.14,0.02,0.17,0.08,0.01,-0.24,-0.52,0.38,-0.19,0.13,-0.1,0.08,-0.22,0.71,0.0,1.65
1991-01-01,-1.06,-0.71,0.06,-0.26,-0.41,-0.16,-0.5,0.06,-0.46,-0.85,0.48,-0.28,-0.8,-0.26,0.7,-0.12,0.64,-0.84,-0.42,-0.72,0.25,-0.04,-0.62,0.18,-0.2,-0.18,-0.35,0.13,-0.14,0.18,-0.06,1.9,-0.2,0.19,-0.34,0.3,1.25,1.34,0.21,-1.16
1991-02-01,-0.38,-0.49,-0.23,-0.33,0.18,-0.2,-0.29,-0.66,-0.62,-0.61,-0.09,-0.15,-0.76,-0.34,-0.59,-0.07,-0.46,-0.43,-0.31,-0.4,0.17,-0.32,0.19,-0.23,-0.2,-0.11,-0.36,0.29,-0.35,-0.21,-0.13,-0.33,-0.29,0.24,-0.2,-0.39,-0.32,-0.42,0.41,0.47
1991-03-01,-0.33,-0.46,-0.14,0.02,0.35,-0.36,-0.14,-0.39,-0.44,-0.24,0.04,0.33,-0.07,0.06,-0.18,0.02,-0.24,-0.25,-0.37,-0.27,0.37,-0.28,0.2,0.04,-0.1,0.31,0.0,0.08,0.01,0.14,-0.04,-0.28,-0.08,0.13,-0.07,-0.31,-0.55,-0.28,-0.2,-0.23
1991-04-01,-0.66,0.12,-0.15,-0.0,0.01,-0.37,-0.27,0.01,0.03,-0.69,-0.73,-0.05,-0.04,0.03,0.23,0.01,0.03,-0.67,0.02,-0.53,-0.1,-0.07,-0.28,0.16,-0.05,-0.31,-0.28,0.1,-0.23,0.59,0.1,-0.19,-0.3,-0.03,0.1,0.07,-0.23,-0.14,0.1,0.0
1991-05-01,-0.26,-0.32,-0.31,-0.02,0.06,-0.02,-0.29,-0.07,-0.16,-0.51,-0.35,0.44,0.28,-0.01,-0.12,0.1,-0.09,-0.21,0.21,-0.24,0.25,-0.01,0.26,0.0,-0.08,0.04,-0.11,0.0,-0.05,-0.62,-0.16,-0.16,-0.17,0.24,0.2,-0.24,-0.28,-0.21,0.1,-0.47
1991-06-01,-0.2,-0.24,-0.29,-0.04,0.4,0.08,-0.31,0.14,-0.1,-0.24,-0.28,-0.07,0.02,0.23,-0.1,0.22,-0.25,-0.36,0.19,-0.16,0.17,-0.22,0.15,0.05,0.03,0.27,0.03,0.21,0.16,0.01,-0.18,0.16,0.01,0.24,0.31,-0.19,-0.46,0.14,-0.41,-0.47
1991-07-01,-0.72,-0.14,-0.19,-0.08,-0.53,-0.14,-0.81,0.01,0.04,-0.51,0.2,0.41,0.14,-0.06,0.04,-0.12,0.04,-0.04,0.12,-0.82,0.17,0.48,-0.23,-0.25,-0.18,0.15,0.03,-0.55,-0.02,-0.15,0.69,-0.13,-0.04,0.19,0.14,-0.03,-0.07,0.0,0.0,0.0
1991-08-01,-0.13,-0.26,-0.08,-0.02,-0.14,0.06,-0.22,-0.33,0.32,-0.15,-0.27,0.0,-0.23,0.1,-0.08,-0.05,-0.27,0.11,0.09,0.32,0.37,0.12,0.27,0.56,0.07,0.4,0.16,-0.34,0.05,0.04,0.02,-0.05,-0.01,0.11,0.14,-0.15,0.04,0.91,0.62,-0.71
1991-09-01,-0.01,-0.18,0.11,0.07,0.38,-0.09,0.25,0.18,-0.29,-0.22,0.1,-0.02,0.11,-0.01,-0.01,0.49,-0.06,-0.12,0.1,-0.1,0.29,0.07,0.24,0.54,0.08,1.23,0.38,0.16,0.32,0.18,0.23,0.34,0.03,0.42,0.34,-0.03,-0.21,-0.63,-0.1,-0.48
1991-10-01,-0.22,0.21,-0.05,0.05,-0.43,-0.25,-0.16,-0.09,-0.71,-0.08,0.4,0.04,0.05,0.18,0.12,0.33,-0.23,0.47,0.52,-0.17,0.07,-0.25,0.59,0.05,-0.04,-0.61,-0.4,-0.08,-0.34,-0.13,0.23,-0.34,-0.09,0.45,-0.27,0.01,0.13,0.21,-0.31,2.39
1991-11-01,-0.03,-0.5,-0.08,-0.15,-0.1,0.11,-0.07,0.07,0.58,-0.1,0.15,0.11,0.19,-0.28,-0.36,0.14,-0.33,-0.21,0.21,0.18,0.83,-0.19,-0.62,-0.07,0.22,0.34,0.18,-0.6,0.0,0.18,0.04,-0.11,0.28,-0.16,0.17,-0.2,-0.52,-0.14,0.41,0.0
1991-12-01,-0.34,-0.32,-0.12,-0.01,-0.2,-0.3,-0.22,0.24,-0.65,-0.1,0.19,-0.21,-0.03,0.33,-0.29,0.22,-0.29,0.32,0.17,-0.26,0.41,0.03,0.22,-0.11,-0.03,0.11,-0.01,0.82,0.02,0.24,-0.31,-0.27,-0.43,-0.05,0.34,-0.18,-0.29,0.07,-1.02,0.93
1992-01-01,-0.05,-1.7,0.26,-0.0,0.14,0.26,0.17,0.18,0.76,-0.03,0.13,0.74,-0.09,0.57,2.48,0.19,-0.03,0.38,0.69,0.03,0.82,0.47,0.31,0.39,0.35,-0.16,0.26,-0.18,0.35,0.31,0.56,-0.72,-0.09,0.63,0.77,-0.44,-0.2,-1.05,2.47,-1.16
1992-02-01,-0.23,-0.27,0.06,0.11,0.14,-0.22,-0.11,0.18,-0.2,-0.03,-0.09,0.16,-0.31,0.03,-0.75,0.29,-0.17,-0.44,-0.26,-0.25,0.31,0.12,0.05,0.07,-0.09,0.29,0.04,0.24,-0.09,0.15,-0.06,-0.41,-0.15,0.26,0.23,-0.43,-0.79,-0.28,0.3,-0.23
1992-03-01,-0.31,-0.01,-0.22,-0.06,-0.01,0.02,-0.17,0.32,0.61,-0.07,0.14,0.03,0.21,0.23,0.15,0.27,0.06,0.21,0.62,-0.15,0.38,0.29,0.09,0.18,-0.17,0.3,0.23,0.05,-0.1,0.19,0.02,0.25,0.04,0.36,0.37,0.12,0.39,0.35,0.0,0.7
1992-04-01,0.11,-0.16,0.02,0.35,0.14,0.13,-0.04,0.12,-0.11,-0.41,0.13,0.16,0.53,0.28,0.57,0.18,0.17,-0.06,0.32,0.12,0.43,0.17,0.53,0.61,0.4,0.91,0.59,0.44,0.01,0.11,0.25,0.38,0.02,0.49,0.2,-0.13,0.14,-0.21,0.0,0.7
1992-05-01,-0.23,-0.21,0.22,0.29,0.12,0.05,-0.04,0.42,0.1,0.12,0.43,0.25,0.01,0.44,-0.26,0.36,-0.24,0.37,0.12,-0.16,0.54,0.23,0.33,0.35,0.3,0.3,0.27,1.22,-0.08,0.39,0.22,0.28,0.07,0.54,0.4,-0.18,-0.11,0.42,0.2,-0.69
1992-06-01,-0.19,-0.33,0.06,-0.08,-0.18,-0.24,-0.01,-0.07,0.1,-0.1,0.02,-0.17,-0.02,-0.04,0.27,0.02,-0.09,0.09,0.12,-0.17,0.68,0.09,0.0,0.11,-0.07,0.26,-0.04,-0.56,0.0,-0.45,-0.32,-0.08,-0.1,-0.18,0.39,-0.19,0.02,0.0,0.5,0.0
1992-07-01,0.17,-0.13,0.32,-0.04,-0.09,0.11,0.1,0.68,0.07,-0.02,0.11,-0.12,0.23,0.36,-0.09,0.53,-0.17,-0.05,1.05,-0.01,0.42,0.45,0.48,-0.51,-0.06,0.93,0.27,1.24,0.16,0.69,0.52,0.03,-0.05,0.54,0.1,-0.02,0.26,0.07,-0.2,1.86
1992-08-01,-0.24,-0.2,0.07,0.02,0.01,-0.07,-0.08,0.53,-0.18,-0.02,0.65,-0.04,0.16,0.2,-0.27,0.43,-0.38,0.12,-0.07,-0.14,0.14,0.34,0.05,0.78,-0.02,-0.17,-0.16,0.54,-0.17,0.19,0.17,-0.05,0.04,0.38,0.29,-0.12,-0.04,-0.21,-0.6,0.0
1992-09-01,-0.13,-0.28,0.05,0.22,0.09,0.05,-0.19,0.18,0.58,0.14,0.6,0.04,0.01,0.31,0.22,0.11,0.14,0.26,0.25,-0.02,0.97,0.06,0.28,0.49,0.18,0.28,0.13,0.61,-0.03,0.19,0.34,0.13,0.04,-0.03,0.55,-0.07,-0.04,0.0,0.4,-0.69
1992-10-01,0.06,0.04,0.18,0.43,0.49,0.49,0.43,0.63,0.52,0.26,-0.67,0.29,0.18,-0.01,0.15,0.23,-0.02,-0.06,0.43,0.24,0.69,0.77,0.8,0.4,0.11,0.45,0.33,-0.45,0.71,0.27,0.01,-0.11,0.18,0.43,0.71,-0.17,0.09,0.0,-0.2,0.92
1992-11-01,-0.19,-0.33,0.16,0.14,0.22,-0.21,0.11,0.33,0.51,0.14,-0.03,0.01,-0.07,0.24,0.15,0.2,0.15,0.55,0.18,-0.2,0.55,0.33,-0.18,0.33,-0.21,0.16,0.11,1.52,-0.53,0.16,0.06,-0.03,-0.02,0.43,0.13,0.01,-0.04,0.49,-0.4,-0.46
1992-12-01,-0.04,-0.2,0.08,-0.03,-0.08,0.09,-0.01,0.28,0.47,-0.07,0.22,0.09,-0.07,0.22,-0.48,0.02,-0.57,0.05,0.35,0.17,0.59,0.25,-0.09,0.36,-0.33,0.21,0.05,-0.42,0.2,0.07,0.16,0.14,0.09,0.51,0.45,-0.35,-0.26,-0.56,0.1,0.23
1993-01-01,0.68,-0.08,0.21,0.77,0.24,0.79,0.27,0.64,0.44,0.61,0.39,0.16,0.37,0.37,0.36,0.43,0.81,0.55,0.23,0.55,0.61,0.18,0.27,-0.19,0.9,0.79,0.2,0.93,0.05,0.12,0.19,0.03,0.19,0.38,0.58,0.94,0.67,1.13,0.3,1.14
1993-02-01,0.13,-0.25,0.11,0.42,0.2,0.12,0.23,0.53,0.53,0.08,0.59,0.19,0.18,0.14,0.22,0.48,-0.3,0.36,0.38,0.06,0.69,0.37,0.57,0.71,0.23,0.58,0.24,0.22,0.12,0.14,0.45,0.02,-0.07,0.48,0.7,-0.09,-0.14,0.49,-0.7,-0.23
1993-03-01,-0.38,-0.52,-0.1,0.16,0.17,-0.38,-0.4,0.15,0.12,-0.15,0.65,0.19,0.02,0.1,0.13,0.46,-0.19,0.12,-0.03,-0.55,0.62,0.18,0.23,0.02,-0.57,0.2,0.03,0.52,-0.29,-0.16,0.05,-0.05,-0.43,0.5,0.13,-0.28,0.0,-0.56,0.2,-0.45
1993-04-01,0.33,-0.33,0.75,0.16,0.26,0.47,0.07,0.92,1.08,0.52,1.01,0.35,0.27,0.33,0.05,0.6,-0.29,0.51,2.5,0.05,0.66,0.5,0.56,0.78,0.15,0.53,-0.01,0.32,0.36,0.27,0.28,-0.28,0.42,0.52,0.47,-0.06,-0.23,0.28,-0.5,-0.91
1993-05-01,0.06,-0.15,0.27,0.23,0.05,0.16,0.18,0.33,-0.15,0.35,0.58,-0.17,0.03,0.08,0.08,0.08,0.14,0.4,0.22,0.21,0.5,0.39,0.19,0.21,0.07,-0.08,0.32,0.57,0.15,0.18,0.21,-0.21,0.13,0.49,0.69,0.11,0.11,0.0,0.1,-0.46
1993-06-01,0.03,0.11,0.04,0.42,0.24,-0.01,-0.05,0.24,0.28,0.16,1.03,0.19,-0.08,0.12,-0.03,0.44,0.34,0.59,0.27,-0.13,0.15,0.55,0.36,0.75,-0.18,0.13,0.33,1.59,-0.2,0.35,0.12,0.02,0.09,0.59,0.16,0.0,0.14,0.28,-0.71,1.39
1993-07-01,0.4,-0.11,0.08,0.44,0.31,0.19,0.26,0.5,0.51,0.22,0.91,1.09,0.67,0.28,-0.2,0.33,-0.24,0.45,-0.13,0.79,0.85,0.22,0.35,0.61,0.28,0.59,0.18,-0.67,0.7,0.13,-0.08,0.21,0.22,0.46,0.78,-0.18,0.17,0.07,1.12,-3.19
1993-08-01,-0.1,0.1,0.18,0.24,0.32,-0.05,0.12,0.54,0.23,0.13,0.01,0.03,-0.59,0.24,0.12,0.26,0.22,0.62,0.11,-0.24,0.58,0.33,0.2,0.1,0.22,0.12,0.36,1.04,-0.06,0.24,0.29,0.43,0.03,0.56,0.37,-0.09,-0.02,-0.21,-0.5,0.71
1993-09-01,0.03,-0.15,-0.1,0.41,0.18,0.16,-0.2,0.42,0.03,0.22,0.41,0.19,0.05,0.1,-0.2,0.17,-0.35,0.29,0.4,0.0,0.54,0.18,0.34,-0.1,-0.06,-0.03,0.47,0.07,0.22,-0.11,-0.23,0.0,0.31,0.12,0.25,-0.05,0.14,-0.07,0.0,0.7
1993-10-01,0.01,-0.3,0.64,0.27,0.06,0.36,0.16,0.74,0.58,0.09,0.63,-1.4,1.2,0.73,0.12,0.62,0.55,0.51,0.19,0.08,0.32,0.94,0.49,0.76,0.5,0.12,0.35,2.42,1.2,1.32,0.36,0.52,0.11,1.33,0.06,0.01,0.06,0.0,0.61,-1.16
1993-11-01,0.11,-0.4,0.04,0.19,0.1,0.19,0.08,0.31,0.08,0.13,0.37,0.1,0.1,0.1,-0.15,-0.04,-0.2,-0.03,0.0,0.18,0.32,0.69,0.16,0.12,-0.2,0.28,0.06,1.19,-0.41,0.09,0.04,-0.19,0.02,0.45,0.74,-0.07,0.16,0.21,-0.5,0.7
1993-12-01,0.13,0.38,0.16,0.25,0.48,0.2,0.2,0.53,0.27,0.3,0.56,0.36,0.48,0.42,0.12,0.36,0.33,0.85,0.62,0.34,0.42,0.47,0.44,0.57,0.06,0.37,0.21,1.85,-0.01,0.33,0.22,0.58,0.36,0.38,0.49,0.22,0.2,0.21,0.81,-0.47
1994-01-01,-0.06,0.02,-0.18,0.46,-0.03,0.0,0.05,0.59,0.3,0.21,0.06,0.18,1.13,0.32,0.27,0.57,-0.18,0.96,1.22,-0.26,0.72,0.12,0.31,0.4,-0.18,0.73,0.63,1.72,0.26,0.17,0.21,0.5,0.59,0.35,0.39,-0.25,-0.46,0.28,-0.7,0.23
1994-02-01,-0.08,0.06,0.12,-0.07,-0.2,-0.09,-0.05,0.3,0.36,0.16,0.5,0.26,0.06,0.41,0.12,0.08,0.08,0.33,0.08,-0.24,0.25,0.13,0.45,0.31,0.27,0.4,0.37,0.8,0.45,0.3,0.14,0.12,0.28,0.24,0.09,-0.08,-0.2,0.14,0.2,1.17
1994-03-01,0.29,0.17,0.22,0.41,0.29,0.26,0.39,0.41,0.32,0.2,0.55,-0.51,0.47,0.32,0.11,0.24,0.17,0.32,0.3,0.62,0.67,0.43,0.17,0.79,0.11,0.41,0.33,0.55,0.46,0.47,0.5,0.43,0.2,0.28,0.73,0.24,-0.02,0.41,-0.2,0.0
1994-04-01,0.53,0.01,0.42,0.42,0.65,0.51,0.22,0.34,0.55,0.32,0.56,0.85,-0.1,0.09,0.07,0.57,-0.27,0.76,1.69,0.33,0.87,0.23,0.32,0.38,-0.07,0.95,-0.32,0.77,0.17,0.39,0.19,0.09,0.2,0.61,0.54,-0.03,0.04,0.55,0.2,0.69
1994-05-01,0.03,-0.02,0.2,0.39,-0.01,0.03,0.14,0.35,0.24,0.12,0.5,-0.01,-0.06,0.36,0.53,0.21,-0.04,0.41,-0.08,0.14,0.41,-0.16,0.24,0.68,0.15,-0.31,0.74,1.0,0.22,0.47,0.28,0.25,0.06,0.56,0.12,-0.03,0.16,0.07,-0.3,0.46
1994-06-01,0.07,0.07,0.33,0.35,0.2,0.17,0.29,0.35,0.29,0.33,0.99,0.17,0.35,0.28,0.45,0.27,0.1,0.4,0.31,0.15,0.62,0.59,0.51,0.42,0.23,0.36,0.13,0.52,0.13,0.39,0.47,0.31,0.09,0.6,0.42,-0.11,-0.02,0.0,0.2,0.23
1994-07-01,0.13,0.19,0.43,0.78,0.36,-0.07,0.06,0.42,0.33,0.39,0.96,-0.06,0.34,0.26,0.81,0.53,0.26,0.42,0.44,0.38,0.73,0.97,0.7,0.5,0.27,0.97,-0.15,1.29,0.06,0.31,0.28,0.35,0.25,0.41,0.39,-0.04,-0.09,0.41,-0.71,0.46
1994-08-01,0.19,0.04,0.26,0.25,0.19,0.1,0.09,0.33,0.19,0.15,0.58,0.47,0.41,0.05,0.37,0.44,0.12,0.03,0.35,0.01,0.43,0.18,0.5,0.45,0.14,-0.37,0.35,1.32,0.38,0.49,-0.01,0.06,0.16,0.46,0.5,0.11,0.3,0.14,-1.22,0.23
1994-09-01,0.05,0.15,0.23,0.26,0.06,0.29,0.26,0.8,0.17,0.22,0.2,0.53,0.39,0.38,0.38,0.32,0.27,0.59,0.41,0.31,0.75,0.25,0.41,0.14,0.22,0.63,0.84,0.15,0.48,-0.19,-0.07,0.03,0.17,0.78,0.5,0.01,0.36,0.41,0.72,0.0
1994-10-01,0.07,0.05,-0.4,0.37,0.59,0.09,-0.01,-0.06,-0.03,0.15,0.47,-0.22,-0.02,-0.24,0.3,0.42,0.05,0.33,-0.08,0.22,0.7,-0.13,0.28,-0.21,-0.05,0.54,0.67,-0.42,0.28,-0.13,0.56,0.38,0.35,0.36,0.7,0.25,0.33,-0.41,1.12,-0.9
1994-11-01,0.14,0.21,0.37,0.52,0.46,0.13,0.13,0.69,0.88,0.36,0.62,0.61,0.5,0.74,0.35,0.49,0.2,0.71,1.13,0.24,0.68,0.48,0.69,1.24,0.28,0.54,0.42,1.09,-0.02,0.46,0.36,0.29,0.35,0.61,0.73,0.24,0.12,-0.07,-0.51,0.23
1994-12-01,0.04,0.31,0.07,0.32,0.24,0.09,0.19,0.39,-0.16,0.26,0.55,0.04,0.21,-0.01,0.57,0.64,0.34,0.19,0.09,0.08,0.61,0.43,0.26,0.2,0.08,0.66,0.44,0.62,0.42,0.55,0.19,0.45,0.27,0.47,0.29,0.28,0.47,0.07,0.41,0.46
1995-01-01,0.17,0.14,0.74,0.35,0.4,-0.05,-0.1,0.41,0.41,0.31,0.82,0.38,0.09,0.72,-0.01,0.2,-0.3,-0.02,0.45,0.29,0.41,0.82,0.0,0.61,0.06,0.03,0.26,-0.02,0.0,0.45,0.31,0.3,0.17,0.49,0.06,0.24,-0.07,-0.48,-0.51,0.23
1995-02-01,0.05,0.48,0.5,0.43,0.21,0.11,0.05,0.24,0.31,0.14,0.55,0.14,0.21,0.36,0.31,0.43,0.59,0.4,0.16,0.11,0.61,-0.09,0.42,0.25,-0.05,0.36,0.25,0.56,0.15,0.38,0.45,0.42,0.18,0.71,0.23,0.39,0.46,1.16,1.12,-0.45
1995-03-01,0.03,-0.25,0.1,0.28,0.28,0.09,0.04,0.27,0.28,0.26,0.54,0.4,0.43,0.2,0.55,0.36,0.2,0.26,0.59,0.04,0.41,0.17,0.61,0.44,0.42,0.3,0.37,1.31,0.27,0.56,0.19,0.07,0.25,0.53,0.37,0.03,0.47,-0.07,-0.9,0.23
1995-04-01,-0.11,-0.01,-0.28,0.17,0.02,0.17,-0.03,0.39,0.07,0.48,0.62,-0.34,-0.27,0.1,0.09,-0.09,0.37,0.27,-0.04,-0.1,0.33,0.36,-0.19,-0.45,-0.15,0.19,-0.12,0.91,0.43,-0.13,-0.39,0.33,0.09,0.33,0.2,-0.02,0.6,-0.13,-1.22,2.72
1995-05-01,-0.02,0.13,-0.08,0.2,0.16,-0.07,-0.01,0.26,0.12,-0.19,0.49,0.23,0.07,-0.01,0.18,0.2,0.14,0.18,0.35,-0.13,0.71,0.49,0.7,0.17,-0.15,0.48,0.01,0.32,-0.02,0.19,-0.02,0.0,0.13,0.07,0.26,0.11,0.37,0.14,0.62,-0.88
