date,Job Openings: Total Nonfarm YoY %,Hires: Total Nonfarm YoY %,Total Separations: Total Nonfarm YoY %,Quits: Total Nonfarm YoY %,Layoffs and Discharges: Total Nonfarm YoY %
2007-05-01,4.3469,-0.5275,-2.3029,0.2665,-1.2054
2007-06-01,5.3099,-3.4464,-3.0924,-4.3393,1.541
2007-07-01,4.6427,-6.3879,-2.0802,-3.1506,1.9355
2007-08-01,-3.482,-0.2792,3.5199,-1.3743,14.5352
2007-09-01,-1.7944,1.059,1.902,-6.8213,19.4975
2007-10-01,0.9802,0.4279,-0.7183,-1.9108,5.2687
2007-11-01,0.0215,-5.8053,-4.3186,-8.5113,2.0768
2007-12-01,-1.6234,-1.822,-1.81,-7.5358,8.07
2008-01-01,-2.9183,-6.5426,-2.1661,-3.6874,3.486
2008-02-01,-8.9381,-1.6085,1.3005,-1.7729,7.8378
2008-03-01,-14.8529,-10.1296,-5.6532,-11.2112,1.9129
2008-04-01,-13.9475,-7.5659,-2.1031,-2.5421,-2.1
2008-05-01,-9.942,-14.2256,-8.5046,-13.3887,-0.8643
2008-06-01,-21.1772,-7.1008,-0.9201,-10.8247,17.7236
2008-07-01,-18.4645,-11.1175,-7.2727,-15.6557,9.23
2008-08-01,-19.1817,-12.6166,-6.9863,-18.8786,7.7226
2008-09-01,-30.7395,-15.8121,-5.6764,-8.2869,-4.5704
2008-10-01,-27.157,-15.7466,-5.4646,-19.7881,12.6126
2008-11-01,-30.4563,-20.711,-5.8421,-22.5216,16.4802
2008-12-01,-30.7811,-15.0615,-3.3697,-24.8467,29.6084
2009-01-01,-40.7872,-19.2467,-5.5156,-30.5936,29.7637
2009-02-01,-33.0685,-20.0118,-7.032,-32.2457,30.2757
2009-03-01,-40.0237,-21.6491,-4.4534,-31.0785,34.2544
2009-04-01,-43.1227,-21.4228,-9.2317,-39.6546,35.5465
2009-05-01,-39.2227,-19.8891,-13.6026,-35.443,14.4103
2009-06-01,-34.6475,-25.6284,-16.3406,-35.0674,4.0976
2009-07-01,-40.4641,-16.8212,-12.5903,-32.3021,9.464
2009-08-01,-36.3636,-18.6245,-20.3955,-36.4008,-3.242
2009-09-01,-22.8119,-12.3361,-15.8303,-34.0762,5.1245
2009-10-01,-28.7533,-15.6113,-19.5166,-29.2714,-9.8667
2009-11-01,-22.5317,-1.9493,-16.9537,-16.0872,-16.4629
2009-12-01,-18.3725,-7.9117,-15.9179,-15.2591,-18.0902
2010-01-01,3.6158,-4.6642,-19.0134,-11.8421,-27.16
2010-02-01,-6.9134,-4.851,-17.3331,-5.5328,-29.7807
2010-03-01,5.7222,11.5086,-13.3686,1.1996,-25.2816
2010-04-01,37.3856,6.9702,-15.8849,10.8061,-34.0995
2010-05-01,17.2224,17.6158,-6.3931,7.7243,-21.022
2010-06-01,11.9057,12.9706,1.8186,13.4125,-8.2264
2010-07-01,38.0824,7.9336,0.8028,5.9347,-4.4552
2010-08-01,28.272,6.1942,1.7315,18.4566,-10.807
2010-09-01,17.3301,2.2819,-1.9632,16.472,-16.5376
2010-10-01,34.4555,8.7285,-2.8028,11.2048,-13.9546
2010-11-01,28.2861,3.9264,1.6242,4.2541,-3.3455
2010-12-01,19.081,7.3676,1.049,11.9479,-8.8047
2011-01-01,9.4114,2.459,1.5482,5.1665,-2.8191
2011-02-01,21.0053,9.4979,0.6482,6.1822,-3.8356
2011-03-01,21.7245,2.9754,1.2962,9.5366,-6.7568
2011-04-01,3.3619,3.2941,1.166,-0.7907,2.4585
2011-05-01,6.3922,-3.5973,6.7533,8.3839,8.059
2011-06-01,23.3488,6.2029,-3.2011,0.6279,-6.4096
2011-07-01,17.5535,2.3541,-2.7173,11.2605,-14.8199
2011-08-01,11.0037,6.2284,2.9354,10.2606,-2.381
2011-09-01,29.3352,9.7918,4.0297,7.7045,2.1834
2011-10-01,11.8702,4.7208,6.8486,8.1798,2.808
2011-11-01,11.0246,4.3759,4.9176,8.0551,3.4072
2011-12-01,23.2178,1.3259,-1.4003,0.2023,-2.8587
2012-01-01,25.9343,11.425,3.924,10.8079,-1.642
2012-02-01,12.0893,7.7759,7.7285,8.7845,8.433
2012-03-01,22.0178,3.2731,3.2593,6.5912,-0.5574
2012-04-01,16.3854,2.1648,8.5693,13.39,4.9107
2012-05-01,20.6354,6.3835,5.9203,8.8041,3.4139
2012-06-01,13.1983,1.6949,5.0084,11.9085,-2.5747
2012-07-01,3.0914,1.5489,-0.0482,4.3303,-6.6667
2012-08-01,14.4187,3.5365,3.4747,1.871,2.6558
2012-09-01,2.8617,-2.8675,-2.7567,-4.4586,-3.5791
2012-10-01,4.3106,0.4348,2.6747,1.9029,5.4069
2012-11-01,8.7798,2.8408,1.8749,1.9127,0.4707
2012-12-01,5.3609,2.2039,0.8325,3.5336,-5.608
2013-01-01,0.3581,0.6731,4.5455,12.3153,-6.6221
2013-02-01,10.7301,0.2412,-1.2877,7.8873,-12.5591
2013-03-01,2.4378,-4.5027,-0.8417,-1.9843,0.1682
2013-04-01,5.141,4.1695,2.054,7.5914,-4.6277
2013-05-01,8.0834,2.8679,0.1127,4.4902,-6.7547
2013-06-01,6.111,0.0,-1.7115,2.3699,-6.9239
2013-07-01,4.0161,5.4079,6.5045,14.0444,-0.5226
2013-08-01,7.246,6.2921,4.0528,11.9381,-4.1183
2013-09-01,6.3369,9.8559,10.435,18.0513,4.8199
2013-10-01,11.8411,2.9392,2.0887,16.5602,-11.4225
2013-11-01,6.2145,2.9628,0.4601,15.0626,-15.1484
2013-12-01,3.8035,3.6388,6.6537,11.5066,4.1176
2014-01-01,5.2001,3.0978,2.0244,1.3596,7.6281
2014-02-01,9.2158,2.7346,5.9632,4.9173,6.1899
2014-03-01,7.6546,9.0181,6.5315,15.3013,-4.7006
2014-04-01,14.4935,6.7367,3.9575,7.7526,-1.6174
2014-05-01,14.5235,3.1096,2.9266,11.1459,-6.8627
2014-06-01,20.0482,10.9234,7.0815,13.7994,0.0
2014-07-01,24.7362,9.8005,7.3965,11.4262,3.9696
2014-08-01,30.9425,1.6913,2.8934,10.0604,-6.4427
2014-09-01,19.0407,8.9505,7.4353,18.6794,-9.1966
2014-10-01,18.7115,13.1253,13.4943,14.5868,9.5522
2014-11-01,17.5771,7.7023,7.2132,8.7411,5.8896
2014-12-01,24.4843,12.5271,9.9044,11.5872,4.9153
2015-01-01,29.4887,9.4034,10.1691,19.6019,-0.9413
2015-02-01,24.9943,9.178,7.0345,13.6873,-0.5659
2015-03-01,18.7329,7.6212,12.9261,12.4541,15.8544
2015-04-01,22.6018,6.4754,7.5484,9.3371,5.2154
2015-05-01,17.1898,6.9468,5.5337,10.4712,0.0585
2015-06-01,5.3392,4.0609,7.9358,9.9322,3.4072
2015-07-01,24.969,2.8355,2.1061,4.9753,-4.3796
2015-08-01,2.206,7.3389,8.8471,12.9463,4.3555
2015-09-01,11.6809,2.6801,5.2523,1.6837,14.319
2015-10-01,15.1836,4.4414,1.9242,3.3848,0.545
2015-11-01,17.8608,7.6336,8.6929,11.4231,3.0707
2015-12-01,13.9376,6.7026,8.2453,19.7492,-2.9079
2016-01-01,12.5,3.1417,4.3594,4.0159,0.8944
2016-02-01,5.5617,6.6901,8.1331,9.2302,7.7974
2016-03-01,17.6392,4.5455,0.6076,5.9187,-6.2342
2016-04-01,3.662,1.8861,3.3576,9.2421,-4.5797
2016-05-01,3.8468,1.0696,7.2746,9.6974,6.6628
2016-06-01,9.4131,3.0439,2.8124,9.5065,-3.899
2016-07-01,-1.5522,5.3592,4.4761,7.3444,3.2883
2016-08-01,3.8412,3.1764,3.4181,4.1334,4.9069
2016-09-01,6.9242,0.3594,-2.4462,9.6832,-19.1446
2016-10-01,-3.1526,-2.3979,1.8482,9.395,-9.8103
2016-11-01,4.6076,-0.9332,0.9825,4.4529,-1.5739
2016-12-01,2.0359,-3.556,-2.9474,-2.1924,-5.269
2017-01-01,-6.5702,5.3448,4.3342,10.887,-3.3241
2017-02-01,2.6516,-2.1938,-1.6904,3.173,-9.6621
2017-03-01,-5.1884,0.6718,2.8638,7.9877,-4.7568
2017-04-01,4.963,-0.4156,-0.3718,2.4704,-3.4444
2017-05-01,0.8482,5.3877,1.8161,3.3898,-1.6986
2017-06-01,9.8049,6.7033,6.7409,4.5063,12.5714
2017-07-01,4.6293,1.3085,5.3899,4.3815,8.5844
2017-08-01,10.5513,3.6043,2.4981,3.5023,0.4301
2017-09-01,7.7028,2.7139,6.0983,4.6931,12.5315
2017-10-01,14.6128,7.1209,5.3073,4.717,10.3966
2017-11-01,5.0243,3.5041,2.8021,5.2875,-0.2284
2017-12-01,6.2374,1.4599,3.5102,7.7952,1.4052
2018-01-01,17.8743,0.2364,-0.6015,-5.3011,10.7163
2018-02-01,10.6196,5.1215,2.7628,4.3056,3.5067
2018-03-01,17.3292,4.2261,4.1667,5.4921,1.8729
2018-04-01,12.9043,6.0319,6.8749,11.2946,0.9942
2018-05-01,20.4257,6.9746,4.2125,8.711,-1.0591
2018-06-01,14.6709,2.2183,1.8854,7.2289,-7.5127
2018-07-01,15.2613,2.7651,4.4773,10.6232,-5.445
2018-08-01,14.8502,5.3633,3.9183,10.3126,-3.4797
2018-09-01,17.2627,3.211,3.876,6.3009,-1.2871
2018-10-01,13.9825,5.8412,3.7984,7.4247,-1.3065
2018-11-01,21.0971,6.043,9.6536,10.2009,10.933
2018-12-01,18.1976,6.401,5.8106,5.7418,6.1778
2019-01-01,13.3061,4.971,4.9357,16.4955,-11.7495
2019-02-01,7.8449,1.4225,6.2794,10.0869,-0.4517
2019-03-01,7.3189,1.1738,0.7818,6.1992,-5.8496
2019-04-01,5.7438,7.6208,6.1753,3.8872,13.6653
2019-05-01,3.6916,-2.9527,1.1653,2.6611,0.0
2019-06-01,-0.4979,0.7118,0.1437,2.7203,-2.3052
2019-07-01,-2.0584,3.9299,4.6979,6.655,1.495
2019-08-01,-0.4162,1.4617,2.0566,3.4181,0.2773
2019-09-01,-3.8726,6.0089,4.7506,1.6514,11.678
2019-10-01,-0.2054,-2.1331,0.5177,-0.1735,0.3309
2019-11-01,-9.2968,0.3605,-2.0369,0.8545,-8.0495
2019-12-01,-10.5488,3.1727,3.9071,2.3481,5.0027
2020-01-01,-5.0387,3.3702,3.4601,1.3079,6.0411
2020-02-01,-1.4152,5.014,1.9636,-1.4096,10.8338
2020-03-01,-19.4479,-9.1053,193.6136,-16.8886,668.3432
2020-04-01,-36.6612,-33.0286,99.6019,-43.1305,367.1421
2020-05-01,-22.8591,43.0355,-15.0828,-34.9366,20.507
2020-06-01,-14.804,28.8916,-7.1403,-25.331,26.1236
2020-07-01,-7.2707,7.6478,-11.0978,-17.3508,-0.3273
2020-08-01,-10.4347,1.7627,-14.9196,-17.2034,-13.7168
2020-09-01,-8.6047,0.0503,-10.9818,-7.6008,-20.4569
2020-10-01,-6.7362,5.3624,-4.8837,-4.0846,-6.707
2020-11-01,-0.9872,0.8038,-0.7753,-9.3759,17.6768
2020-12-01,1.1046,-6.2847,-2.9458,-3.384,-1.2947
2021-01-01,0.5334,-6.4036,-10.3815,-7.606,-13.3296
2021-02-01,12.36,-2.9549,-7.5468,-3.5459,-16.6837
2021-03-01,44.1975,19.0872,-66.2796,24.5823,-88.4482
2021-04-01,102.9092,52.3455,-50.5767,98.0412,-84.711
2021-05-01,77.3699,-26.4601,16.8928,68.9686,-36.8396
2021-06-01,68.3635,-12.5986,10.9158,54.8574,-40.5345
2021-07-01,68.193,6.3291,12.0786,34.404,-22.8243
2021-08-01,69.1087,6.4957,22.0652,42.3064,-14.6154
2021-09-01,66.3953,11.1633,19.4222,36.7033,-9.9553
2021-10-01,65.3133,9.6372,9.3353,25.4304,-22.6282
2021-11-01,64.2082,17.2548,9.9627,38.766,-35.7177
2021-12-01,70.0871,19.8852,8.9627,28.0499,-26.3903
2022-01-01,56.5205,14.8803,21.4189,34.0522,-9.1895
2022-02-01,49.457,16.9964,12.3288,25.4966,-13.9435
2022-03-01,44.7347,7.4862,12.6276,21.7022,-8.2
2022-04-01,26.9099,6.3539,7.7031,14.1009,-6.4194
2022-05-01,15.8831,7.6743,10.2267,11.0034,11.0289
2022-06-01,9.342,-0.7345,5.1907,3.6843,14.4569
2022-07-01,5.3993,-3.6012,0.3609,-0.6898,3.6879
2022-08-01,-7.1744,0.8445,6.1787,2.0858,20.5706
2022-09-01,-0.3138,-6.4988,-3.7921,-5.0528,2.4096
2022-10-01,-7.0386,-7.8916,-1.2295,-4.7436,18.2788
2022-11-01,-5.063,-10.5773,-5.0226,-8.309,9.1988
2022-12-01,-5.3646,-7.8223,-1.6222,-4.3811,9.4084
2023-01-01,-7.9572,-0.9485,-5.7948,-13.007,24.1743
2023-02-01,-15.7377,-11.9394,-3.6585,-7.4652,9.5646
2023-03-01,-21.5104,-10.485,-3.1872,-14.5491,38.199
2023-04-01,-15.9767,-9.9877,-9.2538,-19.6044,26.0671
2023-05-01,-18.7863,-4.9845,-3.9316,-5.6172,2.6667
2023-06-01,-18.6387,-8.6172,-5.9447,-11.3325,8.5079
2023-07-01,-25.216,-12.4421,-4.7097,-11.8829,14.7059
2023-08-01,-8.3036,-9.3362,-9.4101,-14.9601,4.2964
2023-09-01,-14.2685,-6.9021,-6.439,-11.8529,5.9516
2023-10-01,-17.8712,-6.2754,-4.3914,-9.6562,4.5074
2023-11-01,-19.0933,-10.4369,-6.5805,-12.4173,5.5707
2023-12-01,-21.8492,-9.411,-9.5603,-17.2848,9.772
2024-01-01,-18.8021,-12.2292,-8.802,-12.8158,-7.1307
2024-02-01,-14.3756,-6.1947,-4.4044,-11.1054,10.228
2024-03-01,-15.0078,-7.9831,-12.0154,-13.4474,-13.4524
2024-04-01,-24.4531,-6.9265,-3.5907,-4.9489,-6.4087
2024-05-01,-16.93,-10.2468,-7.1233,-15.3288,13.4416
2024-06-01,-19.2157,-13.3435,-10.5282,-11.1833,-9.7105
2024-07-01,-14.2197,-4.2666,-3.1272,-5.4336,2.0274
2024-08-01,-18.7378,-10.9819,-7.5208,-10.522,0.4776
2024-09-01,-25.0135,-5.9934,-6.3011,-14.2975,16.2639
2024-10-01,-13.9977,-9.3148,-7.1067,-10.0448,1.6636
2024-11-01,-12.0437,-6.8654,-6.1522,-14.7092,17.825
2024-12-01,-14.3779,-5.2123,-7.0166,-9.5838,0.2374
2025-01-01,-11.3034,-6.3137,-2.3477,-4.3024,5.911
2025-02-01,-14.1943,-6.7996,-4.1357,-9.4486,10.3428
2025-03-01,-15.2815,-2.1827,0.4368,5.0775,-3.1573
2025-04-01,-5.7245,-1.4262,-1.8622,-8.5515,17.4419
2025-05-01,-6.0653,-2.9862,-2.5074,-2.9238,-4.3503
2025-06-01,-2.8587,3.6987,6.8871,-0.7927,23.1129
2025-07-01,-4.5381,-3.7753,-4.0816,-6.758,3.5652
2025-08-01,-7.992,-1.1337,-0.3636,-4.4753,8.8532
2025-09-01,3.2551,-3.372,0.0194,-4.2587,2.0225
2025-10-01,-2.8324,-0.9181,-0.2336,-7.3095,14.6061
2025-11-01,-9.5163,-2.6382,-2.3468,2.2623,-9.3392
2025-12-01,-10.2125,-0.3779,3.0501,4.5381,-1.3618
2026-01-01,-6.5267,1.0691,-2.5949,-2.0606,-6.1565
