date,Job Openings: Total Nonfarm,Hires: Total Nonfarm,Total Separations: Total Nonfarm,Quits: Total Nonfarm,Layoffs and Discharges: Total Nonfarm
2005-03-01,4044.0,5273.0,5238.0,2747.0,2188.0
2005-04-01,4159.0,5362.0,4998.0,2741.0,1957.0
2005-05-01,3797.0,5271.0,5110.0,2763.0,2021.0
2005-06-01,4062.0,5376.0,5095.0,2754.0,2015.0
2005-07-01,4256.0,5328.0,4946.0,2735.0,1898.0
2005-08-01,4142.0,5409.0,5210.0,2957.0,1905.0
2005-09-01,4352.0,5493.0,5404.0,3046.0,2032.0
2005-10-01,4184.0,5124.0,5047.0,2863.0,1873.0
2005-11-01,4248.0,5344.0,5005.0,2895.0,1769.0
2005-12-01,4282.0,5294.0,5170.0,2849.0,1923.0
2006-01-01,4397.0,5271.0,5060.0,2945.0,1784.0
2006-02-01,4325.0,5474.0,5232.0,2965.0,1882.0
2006-03-01,4732.0,5524.0,5242.0,2956.0,1888.0
2006-04-01,4790.0,5215.0,5055.0,2778.0,1853.0
2006-05-01,4463.0,5498.0,5428.0,3002.0,1991.0
2006-06-01,4614.0,5455.0,5271.0,3042.0,1817.0
2006-07-01,4394.0,5573.0,5336.0,3047.0,1860.0
2006-08-01,4710.0,5373.0,5199.0,3056.0,1775.0
2006-09-01,4737.0,5288.0,5100.0,2888.0,1831.0
2006-10-01,4591.0,5375.0,5290.0,2983.0,1898.0
2006-11-01,4645.0,5495.0,5349.0,3043.0,1926.0
2006-12-01,4620.0,5214.0,5138.0,2999.0,1772.0
2007-01-01,4763.0,5426.0,5263.0,2956.0,1922.0
2007-02-01,4699.0,5160.0,5152.0,2933.0,1850.0
2007-03-01,4962.0,5479.0,5236.0,2997.0,1882.0
2007-04-01,4689.0,5353.0,5278.0,2911.0,2000.0
2007-05-01,4657.0,5469.0,5303.0,3010.0,1967.0
2007-06-01,4859.0,5267.0,5108.0,2910.0,1845.0
2007-07-01,4598.0,5217.0,5225.0,2951.0,1896.0
2007-08-01,4546.0,5358.0,5382.0,3014.0,2033.0
2007-09-01,4652.0,5344.0,5197.0,2691.0,2188.0
2007-10-01,4636.0,5398.0,5252.0,2926.0,1998.0
2007-11-01,4646.0,5176.0,5118.0,2784.0,1966.0
2007-12-01,4545.0,5119.0,5045.0,2773.0,1915.0
2008-01-01,4624.0,5071.0,5149.0,2847.0,1989.0
2008-02-01,4279.0,5077.0,5219.0,2881.0,1995.0
2008-03-01,4225.0,4924.0,4940.0,2661.0,1918.0
2008-04-01,4035.0,4948.0,5167.0,2837.0,1958.0
2008-05-01,4194.0,4691.0,4852.0,2607.0,1950.0
2008-06-01,3830.0,4893.0,5061.0,2595.0,2172.0
2008-07-01,3749.0,4637.0,4845.0,2489.0,2071.0
2008-08-01,3674.0,4682.0,5006.0,2445.0,2190.0
2008-09-01,3222.0,4499.0,4902.0,2468.0,2088.0
2008-10-01,3377.0,4548.0,4965.0,2347.0,2250.0
2008-11-01,3231.0,4104.0,4819.0,2157.0,2290.0
2008-12-01,3146.0,4348.0,4875.0,2084.0,2482.0
2009-01-01,2738.0,4095.0,4865.0,1976.0,2581.0
2009-02-01,2864.0,4061.0,4852.0,1952.0,2599.0
2009-03-01,2534.0,3858.0,4720.0,1834.0,2575.0
2009-04-01,2295.0,3888.0,4690.0,1712.0,2654.0
2009-05-01,2549.0,3758.0,4192.0,1683.0,2231.0
2009-06-01,2503.0,3639.0,4234.0,1685.0,2261.0
2009-07-01,2232.0,3857.0,4235.0,1685.0,2267.0
2009-08-01,2338.0,3810.0,3985.0,1555.0,2119.0
2009-09-01,2487.0,3944.0,4126.0,1627.0,2195.0
2009-10-01,2406.0,3838.0,3996.0,1660.0,2028.0
2009-11-01,2503.0,4024.0,4002.0,1810.0,1913.0
2009-12-01,2568.0,4004.0,4099.0,1766.0,2033.0
2010-01-01,2837.0,3904.0,3940.0,1742.0,1880.0
2010-02-01,2666.0,3864.0,4011.0,1844.0,1825.0
2010-03-01,2679.0,4302.0,4089.0,1856.0,1924.0
2010-04-01,3153.0,4159.0,3945.0,1897.0,1749.0
2010-05-01,2988.0,4420.0,3924.0,1813.0,1762.0
2010-06-01,2801.0,4111.0,4311.0,1911.0,2075.0
2010-07-01,3082.0,4163.0,4269.0,1785.0,2166.0
2010-08-01,2999.0,4046.0,4054.0,1842.0,1890.0
2010-09-01,2918.0,4034.0,4045.0,1895.0,1832.0
2010-10-01,3235.0,4173.0,3884.0,1846.0,1745.0
2010-11-01,3211.0,4182.0,4067.0,1887.0,1849.0
2010-12-01,3058.0,4299.0,4142.0,1977.0,1854.0
2011-01-01,3104.0,4000.0,4001.0,1832.0,1827.0
2011-02-01,3226.0,4231.0,4037.0,1958.0,1755.0
2011-03-01,3261.0,4430.0,4142.0,2033.0,1794.0
2011-04-01,3259.0,4296.0,3991.0,1882.0,1792.0
2011-05-01,3179.0,4261.0,4189.0,1965.0,1904.0
2011-06-01,3455.0,4366.0,4173.0,1923.0,1942.0
2011-07-01,3623.0,4261.0,4153.0,1986.0,1845.0
2011-08-01,3329.0,4298.0,4173.0,2031.0,1845.0
2011-09-01,3774.0,4429.0,4208.0,2041.0,1872.0
2011-10-01,3619.0,4370.0,4150.0,1997.0,1794.0
2011-11-01,3565.0,4365.0,4267.0,2039.0,1912.0
2011-12-01,3768.0,4356.0,4084.0,1981.0,1801.0
2012-01-01,3909.0,4457.0,4158.0,2030.0,1797.0
2012-02-01,3616.0,4560.0,4349.0,2130.0,1903.0
2012-03-01,3979.0,4575.0,4277.0,2167.0,1784.0
2012-04-01,3793.0,4389.0,4333.0,2134.0,1880.0
2012-05-01,3835.0,4533.0,4437.0,2138.0,1969.0
2012-06-01,3911.0,4440.0,4382.0,2152.0,1892.0
2012-07-01,3735.0,4327.0,4151.0,2072.0,1722.0
2012-08-01,3809.0,4450.0,4318.0,2069.0,1894.0
2012-09-01,3882.0,4302.0,4092.0,1950.0,1805.0
2012-10-01,3775.0,4389.0,4261.0,2035.0,1891.0
2012-11-01,3878.0,4489.0,4347.0,2078.0,1921.0
2012-12-01,3970.0,4452.0,4118.0,2051.0,1700.0
2013-01-01,3923.0,4487.0,4347.0,2280.0,1678.0
2013-02-01,4004.0,4571.0,4293.0,2298.0,1664.0
2013-03-01,4076.0,4369.0,4241.0,2124.0,1787.0
2013-04-01,3988.0,4572.0,4422.0,2296.0,1793.0
2013-05-01,4145.0,4663.0,4442.0,2234.0,1836.0
2013-06-01,4150.0,4440.0,4307.0,2203.0,1761.0
2013-07-01,3885.0,4561.0,4421.0,2363.0,1713.0
2013-08-01,4085.0,4730.0,4493.0,2316.0,1816.0
2013-09-01,4128.0,4726.0,4519.0,2302.0,1892.0
2013-10-01,4222.0,4518.0,4350.0,2372.0,1675.0
2013-11-01,4119.0,4622.0,4367.0,2391.0,1630.0
2013-12-01,4121.0,4614.0,4392.0,2287.0,1770.0
2014-01-01,4127.0,4626.0,4435.0,2311.0,1806.0
2014-02-01,4373.0,4696.0,4549.0,2411.0,1767.0
2014-03-01,4388.0,4763.0,4518.0,2449.0,1703.0
2014-04-01,4566.0,4880.0,4597.0,2474.0,1764.0
2014-05-01,4747.0,4808.0,4572.0,2483.0,1710.0
2014-06-01,4982.0,4925.0,4612.0,2507.0,1761.0
2014-07-01,4846.0,5008.0,4748.0,2633.0,1781.0
2014-08-01,5349.0,4810.0,4623.0,2549.0,1699.0
2014-09-01,4914.0,5149.0,4855.0,2732.0,1718.0
2014-10-01,5012.0,5111.0,4937.0,2718.0,1835.0
2014-11-01,4843.0,4978.0,4682.0,2600.0,1726.0
2014-12-01,5130.0,5192.0,4827.0,2552.0,1857.0
2015-01-01,5344.0,5061.0,4886.0,2764.0,1789.0
2015-02-01,5466.0,5127.0,4869.0,2741.0,1757.0
2015-03-01,5210.0,5126.0,5102.0,2754.0,1973.0
2015-04-01,5598.0,5196.0,4944.0,2705.0,1856.0
2015-05-01,5563.0,5142.0,4825.0,2743.0,1711.0
2015-06-01,5248.0,5125.0,4978.0,2756.0,1821.0
2015-07-01,6056.0,5150.0,4848.0,2764.0,1703.0
2015-08-01,5467.0,5163.0,5032.0,2879.0,1773.0
2015-09-01,5488.0,5287.0,5110.0,2778.0,1964.0
2015-10-01,5773.0,5338.0,5032.0,2810.0,1845.0
2015-11-01,5708.0,5358.0,5089.0,2897.0,1779.0
2015-12-01,5845.0,5540.0,5225.0,3056.0,1803.0
2016-01-01,6012.0,5220.0,5099.0,2875.0,1805.0
2016-02-01,5770.0,5470.0,5265.0,2994.0,1894.0
2016-03-01,6129.0,5359.0,5133.0,2917.0,1850.0
2016-04-01,5803.0,5294.0,5110.0,2955.0,1771.0
2016-05-01,5777.0,5197.0,5176.0,3009.0,1825.0
2016-06-01,5742.0,5281.0,5118.0,3018.0,1750.0
2016-07-01,5962.0,5426.0,5065.0,2967.0,1759.0
2016-08-01,5677.0,5327.0,5204.0,2998.0,1860.0
2016-09-01,5868.0,5306.0,4985.0,3047.0,1588.0
2016-10-01,5591.0,5210.0,5125.0,3074.0,1664.0
2016-11-01,5971.0,5308.0,5139.0,3026.0,1751.0
2016-12-01,5964.0,5343.0,5071.0,2989.0,1708.0
2017-01-01,5617.0,5499.0,5320.0,3188.0,1745.0
2017-02-01,5923.0,5350.0,5176.0,3089.0,1711.0
2017-03-01,5811.0,5395.0,5280.0,3150.0,1762.0
2017-04-01,6091.0,5272.0,5091.0,3028.0,1710.0
2017-05-01,5826.0,5477.0,5270.0,3111.0,1794.0
2017-06-01,6305.0,5635.0,5463.0,3154.0,1970.0
2017-07-01,6238.0,5497.0,5338.0,3097.0,1910.0
2017-08-01,6276.0,5519.0,5334.0,3103.0,1868.0
2017-09-01,6320.0,5450.0,5289.0,3190.0,1787.0
2017-10-01,6408.0,5581.0,5397.0,3219.0,1837.0
2017-11-01,6271.0,5494.0,5283.0,3186.0,1747.0
2017-12-01,6336.0,5421.0,5249.0,3222.0,1732.0
2018-01-01,6621.0,5512.0,5288.0,3019.0,1932.0
2018-02-01,6552.0,5624.0,5319.0,3222.0,1771.0
2018-03-01,6818.0,5623.0,5500.0,3323.0,1795.0
2018-04-01,6877.0,5590.0,5441.0,3370.0,1727.0
2018-05-01,7016.0,5859.0,5492.0,3382.0,1775.0
2018-06-01,7230.0,5760.0,5566.0,3382.0,1822.0
2018-07-01,7190.0,5649.0,5577.0,3426.0,1806.0
2018-08-01,7208.0,5815.0,5543.0,3423.0,1803.0
2018-09-01,7411.0,5625.0,5494.0,3391.0,1764.0
2018-10-01,7304.0,5907.0,5602.0,3458.0,1813.0
2018-11-01,7594.0,5826.0,5793.0,3511.0,1938.0
2018-12-01,7489.0,5768.0,5554.0,3407.0,1839.0
2019-01-01,7502.0,5786.0,5549.0,3517.0,1705.0
2019-02-01,7066.0,5704.0,5653.0,3547.0,1763.0
2019-03-01,7317.0,5689.0,5543.0,3529.0,1690.0
2019-04-01,7272.0,6016.0,5777.0,3501.0,1963.0
2019-05-01,7275.0,5686.0,5556.0,3472.0,1775.0
2019-06-01,7194.0,5801.0,5574.0,3474.0,1780.0
2019-07-01,7042.0,5871.0,5839.0,3654.0,1833.0
2019-08-01,7178.0,5900.0,5657.0,3540.0,1808.0
2019-09-01,7124.0,5963.0,5755.0,3447.0,1970.0
2019-10-01,7289.0,5781.0,5631.0,3452.0,1819.0
2019-11-01,6888.0,5847.0,5675.0,3541.0,1782.0
2019-12-01,6699.0,5951.0,5771.0,3487.0,1931.0
2020-01-01,7124.0,5981.0,5741.0,3563.0,1808.0
2020-02-01,6966.0,5990.0,5764.0,3497.0,1954.0
2020-03-01,5894.0,5171.0,16275.0,2933.0,12985.0
2020-04-01,4606.0,4029.0,11531.0,1991.0,9170.0
2020-05-01,5612.0,8133.0,4718.0,2259.0,2139.0
2020-06-01,6129.0,7477.0,5176.0,2594.0,2245.0
2020-07-01,6530.0,6320.0,5191.0,3020.0,1827.0
2020-08-01,6429.0,6004.0,4813.0,2931.0,1560.0
2020-09-01,6511.0,5966.0,5123.0,3185.0,1567.0
2020-10-01,6798.0,6091.0,5356.0,3311.0,1697.0
2020-11-01,6820.0,5894.0,5631.0,3209.0,2097.0
2020-12-01,6773.0,5577.0,5601.0,3369.0,1906.0
2021-01-01,7162.0,5598.0,5145.0,3292.0,1567.0
2021-02-01,7827.0,5813.0,5329.0,3373.0,1628.0
2021-03-01,8499.0,6158.0,5488.0,3654.0,1500.0
2021-04-01,9346.0,6138.0,5699.0,3943.0,1402.0
2021-05-01,9954.0,5981.0,5515.0,3817.0,1351.0
2021-06-01,10319.0,6535.0,5741.0,4017.0,1335.0
2021-07-01,10983.0,6720.0,5818.0,4059.0,1410.0
2021-08-01,10872.0,6394.0,5875.0,4171.0,1332.0
2021-09-01,10834.0,6632.0,6118.0,4354.0,1411.0
2021-10-01,11238.0,6678.0,5856.0,4153.0,1313.0
2021-11-01,11199.0,6911.0,6192.0,4453.0,1348.0
2021-12-01,11520.0,6686.0,6103.0,4314.0,1403.0
2022-01-01,11210.0,6431.0,6247.0,4413.0,1423.0
2022-02-01,11698.0,6801.0,5986.0,4233.0,1401.0
2022-03-01,12301.0,6619.0,6181.0,4447.0,1377.0
2022-04-01,11861.0,6528.0,6138.0,4499.0,1312.0
2022-05-01,11535.0,6440.0,6079.0,4237.0,1500.0
2022-06-01,11283.0,6487.0,6039.0,4165.0,1528.0
2022-07-01,11576.0,6478.0,5839.0,4031.0,1462.0
2022-08-01,10092.0,6448.0,6238.0,4258.0,1606.0
2022-09-01,10800.0,6201.0,5886.0,4134.0,1445.0
2022-10-01,10447.0,6151.0,5784.0,3956.0,1553.0
2022-11-01,10632.0,6180.0,5881.0,4083.0,1472.0
2022-12-01,10902.0,6163.0,6004.0,4125.0,1535.0
2023-01-01,10318.0,6370.0,5885.0,3839.0,1767.0
2023-02-01,9857.0,5989.0,5767.0,3917.0,1535.0
2023-03-01,9655.0,5925.0,5984.0,3800.0,1903.0
2023-04-01,9966.0,5876.0,5570.0,3617.0,1654.0
2023-05-01,9368.0,6119.0,5840.0,3999.0,1540.0
2023-06-01,9180.0,5928.0,5680.0,3693.0,1658.0
2023-07-01,8657.0,5672.0,5564.0,3552.0,1677.0
2023-08-01,9254.0,5846.0,5651.0,3621.0,1675.0
2023-09-01,9259.0,5773.0,5507.0,3644.0,1531.0
2023-10-01,8580.0,5765.0,5530.0,3574.0,1623.0
2023-11-01,8602.0,5535.0,5494.0,3576.0,1554.0
2023-12-01,8520.0,5583.0,5430.0,3412.0,1685.0
2024-01-01,8378.0,5591.0,5367.0,3347.0,1641.0
2024-02-01,8440.0,5618.0,5513.0,3482.0,1692.0
2024-03-01,8206.0,5452.0,5265.0,3289.0,1647.0
2024-04-01,7529.0,5469.0,5370.0,3438.0,1548.0
2024-05-01,7782.0,5492.0,5424.0,3386.0,1747.0
2024-06-01,7416.0,5137.0,5082.0,3280.0,1497.0
2024-07-01,7426.0,5430.0,5390.0,3359.0,1711.0
2024-08-01,7520.0,5204.0,5226.0,3240.0,1683.0
2024-09-01,6943.0,5427.0,5160.0,3123.0,1780.0
2024-10-01,7379.0,5228.0,5137.0,3215.0,1650.0
2024-11-01,7566.0,5155.0,5156.0,3050.0,1831.0
2024-12-01,7295.0,5292.0,5049.0,3085.0,1689.0
2025-01-01,7431.0,5238.0,5241.0,3203.0,1738.0
2025-02-01,7242.0,5236.0,5285.0,3153.0,1867.0
2025-03-01,6952.0,5333.0,5288.0,3456.0,1595.0
2025-04-01,7098.0,5391.0,5270.0,3144.0,1818.0
2025-05-01,7310.0,5328.0,5288.0,3287.0,1671.0
2025-06-01,7204.0,5327.0,5432.0,3254.0,1843.0
2025-07-01,7089.0,5225.0,5170.0,3132.0,1772.0
2025-08-01,6919.0,5145.0,5207.0,3095.0,1832.0
2025-09-01,7169.0,5244.0,5161.0,2990.0,1816.0
2025-10-01,7170.0,5180.0,5125.0,2980.0,1891.0
2025-11-01,6846.0,5019.0,5035.0,3119.0,1660.0
2025-12-01,6550.0,5272.0,5203.0,3225.0,1666.0
2026-01-01,6946.0,5294.0,5105.0,3137.0,1631.0
