date,Job Openings: Total Nonfarm Period %,Hires: Total Nonfarm Period %,Total Separations: Total Nonfarm Period %,Quits: Total Nonfarm Period %,Layoffs and Discharges: Total Nonfarm Period %
2005-11-01,1.5296,4.2935,-0.8322,1.1177,-5.5526
2005-12-01,0.8004,-0.9356,3.2967,-1.5889,8.7055
2006-01-01,2.6857,-0.4345,-2.1277,3.3696,-7.2283
2006-02-01,-1.6375,3.8513,3.3992,0.6791,5.4933
2006-03-01,9.4104,0.9134,0.1911,-0.3035,0.3188
2006-04-01,1.2257,-5.5938,-3.5673,-6.0217,-1.8538
2006-05-01,-6.8267,5.4267,7.3788,8.0634,7.4474
2006-06-01,3.3834,-0.7821,-2.8924,1.3324,-8.7393
2006-07-01,-4.7681,2.1632,1.2332,0.1644,2.3665
2006-08-01,7.1916,-3.5887,-2.5675,0.2954,-4.5699
2006-09-01,0.5732,-1.582,-1.9042,-5.4974,3.1549
2006-10-01,-3.0821,1.6452,3.7255,3.2895,3.6592
2006-11-01,1.1762,2.2326,1.1153,2.0114,1.4752
2006-12-01,-0.5382,-5.1137,-3.9447,-1.4459,-7.9958
2007-01-01,3.0952,4.066,2.4329,-1.4338,8.465
2007-02-01,-1.3437,-4.9023,-2.1091,-0.7781,-3.7461
2007-03-01,5.5969,6.1822,1.6304,2.1821,1.7297
2007-04-01,-5.5018,-2.2997,0.8021,-2.8695,6.2699
2007-05-01,-0.6824,2.167,0.4737,3.4009,-1.65
2007-06-01,4.3376,-3.6935,-3.6772,-3.3223,-6.2023
2007-07-01,-5.3715,-0.9493,2.2905,1.4089,2.7642
2007-08-01,-1.1309,2.7027,3.0048,2.1349,7.2257
2007-09-01,2.3317,-0.2613,-3.4374,-10.7167,7.6242
2007-10-01,-0.3439,1.0105,1.0583,8.7328,-8.6837
2007-11-01,0.2157,-4.1126,-2.5514,-4.853,-1.6016
2007-12-01,-2.1739,-1.1012,-1.4263,-0.3951,-2.5941
2008-01-01,1.7382,-0.9377,2.0614,2.6686,3.8642
2008-02-01,-7.4611,0.1183,1.3595,1.1942,0.3017
2008-03-01,-1.262,-3.0136,-5.3459,-7.6362,-3.8596
2008-04-01,-4.497,0.4874,4.5951,6.6141,2.0855
2008-05-01,3.9405,-5.194,-6.0964,-8.1072,-0.4086
2008-06-01,-8.6791,4.3061,4.3075,-0.4603,11.3846
2008-07-01,-2.1149,-5.232,-4.2679,-4.0848,-4.6501
2008-08-01,-2.0005,0.9705,3.323,-1.7678,5.746
2008-09-01,-12.3027,-3.9086,-2.0775,0.9407,-4.6575
2008-10-01,4.8107,1.0891,1.2852,-4.9028,7.7586
2008-11-01,-4.3234,-9.7625,-2.9406,-8.0954,1.7778
2008-12-01,-2.6308,5.9454,1.1621,-3.3843,8.3843
2009-01-01,-12.9688,-5.8188,-0.2051,-5.1823,3.9887
2009-02-01,4.6019,-0.8303,-0.2672,-1.2146,0.6974
2009-03-01,-11.5223,-4.9988,-2.7205,-6.0451,-0.9234
2009-04-01,-9.4317,0.7776,-0.6356,-6.6521,3.068
2009-05-01,11.0675,-3.3436,-10.6183,-1.6939,-15.9382
2009-06-01,-1.8046,-3.1666,1.0019,0.1188,1.3447
2009-07-01,-10.827,5.9907,0.0236,0.0,0.2654
2009-08-01,4.7491,-1.2186,-5.9032,-7.7151,-6.5285
2009-09-01,6.373,3.5171,3.5383,4.6302,3.5866
2009-10-01,-3.2569,-2.6876,-3.1508,2.0283,-7.6082
2009-11-01,4.0316,4.8463,0.1502,9.0361,-5.6706
2009-12-01,2.5969,-0.497,2.4238,-2.4309,6.2729
2010-01-01,10.4751,-2.4975,-3.879,-1.359,-7.5258
2010-02-01,-6.0275,-1.0246,1.802,5.8553,-2.9255
2010-03-01,0.4876,11.3354,1.9447,0.6508,5.4247
2010-04-01,17.6932,-3.324,-3.5216,2.2091,-9.0956
2010-05-01,-5.2331,6.2755,-0.5323,-4.428,0.7433
2010-06-01,-6.2584,-6.991,9.8624,5.4054,17.7639
2010-07-01,10.0321,1.2649,-0.9743,-6.5934,4.3855
2010-08-01,-2.6931,-2.8105,-5.0363,3.1933,-12.7424
2010-09-01,-2.7009,-0.2966,-0.222,2.8773,-3.0688
2010-10-01,10.8636,3.4457,-3.9802,-2.5858,-4.7489
2010-11-01,-0.7419,0.2157,4.7116,2.221,5.9599
2010-12-01,-4.7649,2.7977,1.8441,4.7695,0.2704
2011-01-01,1.5043,-6.9551,-3.4042,-7.3343,-1.4563
2011-02-01,3.9304,5.775,0.8998,6.8777,-3.9409
2011-03-01,1.0849,4.7034,2.6009,3.8304,2.2222
2011-04-01,-0.0613,-3.0248,-3.6456,-7.4274,-0.1115
2011-05-01,-2.4547,-0.8147,4.9612,4.4102,6.25
2011-06-01,8.682,2.4642,-0.382,-2.1374,1.9958
2011-07-01,4.8625,-2.4049,-0.4793,3.2761,-4.9949
2011-08-01,-8.1148,0.8683,0.4816,2.2659,0.0
2011-09-01,13.3674,3.0479,0.8387,0.4924,1.4634
2011-10-01,-4.107,-1.3321,-1.3783,-2.1558,-4.1667
2011-11-01,-1.4921,-0.1144,2.8193,2.1032,6.5775
2011-12-01,5.6942,-0.2062,-4.2887,-2.8445,-5.8054
2012-01-01,3.742,2.3186,1.8119,2.4735,-0.2221
2012-02-01,-7.4955,2.311,4.5936,4.9261,5.8987
2012-03-01,10.0387,0.3289,-1.6556,1.7371,-6.2533
2012-04-01,-4.6745,-4.0656,1.3093,-1.5228,5.3812
2012-05-01,1.1073,3.2809,2.4002,0.1874,4.734
2012-06-01,1.9817,-2.0516,-1.2396,0.6548,-3.9106
2012-07-01,-4.5001,-2.545,-5.2716,-3.7175,-8.9852
2012-08-01,1.9813,2.8426,4.0231,-0.1448,9.9884
2012-09-01,1.9165,-3.3258,-5.2339,-5.7516,-4.699
2012-10-01,-2.7563,2.0223,4.13,4.359,4.7645
2012-11-01,2.7285,2.2784,2.0183,2.113,1.5865
2012-12-01,2.3724,-0.8242,-5.268,-1.2993,-11.5044
2013-01-01,-1.1839,0.7862,5.561,11.1653,-1.2941
2013-02-01,2.0647,1.8721,-1.2422,0.7895,-0.8343
2013-03-01,1.7982,-4.4192,-1.2113,-7.5718,7.3918
2013-04-01,-2.159,4.6464,4.2679,8.0979,0.3358
2013-05-01,3.9368,1.9904,0.4523,-2.7003,2.3982
2013-06-01,0.1206,-4.7823,-3.0392,-1.3876,-4.085
2013-07-01,-6.3855,2.7252,2.6469,7.2628,-2.7257
2013-08-01,5.148,3.7053,1.6286,-1.989,6.0128
2013-09-01,1.0526,-0.0846,0.5787,-0.6045,4.185
2013-10-01,2.2771,-4.4012,-3.7398,3.0408,-11.4693
2013-11-01,-2.4396,2.3019,0.3908,0.801,-2.6866
2013-12-01,0.0486,-0.1731,0.5725,-4.3496,8.589
2014-01-01,0.1456,0.2601,0.9791,1.0494,2.0339
2014-02-01,5.9607,1.5132,2.5705,4.3271,-2.1595
2014-03-01,0.343,1.4267,-0.6815,1.5761,-3.622
2014-04-01,4.0565,2.4564,1.7486,1.0208,3.5819
2014-05-01,3.9641,-1.4754,-0.5438,0.3638,-3.0612
2014-06-01,4.9505,2.4334,0.8749,0.9666,2.9825
2014-07-01,-2.7298,1.6853,2.9488,5.0259,1.1357
2014-08-01,10.3797,-3.9537,-2.6327,-3.1903,-4.6042
2014-09-01,-8.1324,7.0478,5.0184,7.1793,1.1183
2014-10-01,1.9943,-0.738,1.689,-0.5124,6.8102
2014-11-01,-3.3719,-2.6022,-5.1651,-4.3414,-5.9401
2014-12-01,5.9261,4.2989,3.097,-1.8462,7.5898
2015-01-01,4.1715,-2.5231,1.2223,8.3072,-3.6618
2015-02-01,2.2829,1.3041,-0.3479,-0.8321,-1.7887
2015-03-01,-4.6835,-0.0195,4.7854,0.4743,12.2937
2015-04-01,7.4472,1.3656,-3.0968,-1.7792,-5.9301
2015-05-01,-0.6252,-1.0393,-2.407,1.4048,-7.8125
2015-06-01,-5.6624,-0.3306,3.171,0.4739,6.429
2015-07-01,15.3963,0.4878,-2.6115,0.2903,-6.48
2015-08-01,-9.7259,0.2524,3.7954,4.1606,4.1104
2015-09-01,0.3841,2.4017,1.5501,-3.5082,10.7727
2015-10-01,5.1931,0.9646,-1.5264,1.1519,-6.0591
2015-11-01,-1.1259,0.3747,1.1328,3.0961,-3.5772
2015-12-01,2.4001,3.3968,2.6724,5.4884,1.3491
2016-01-01,2.8571,-5.7762,-2.4115,-5.9228,0.1109
2016-02-01,-4.0253,4.7893,3.2555,4.1391,4.9307
2016-03-01,6.2218,-2.0293,-2.5071,-2.5718,-2.3231
2016-04-01,-5.319,-1.2129,-0.4481,1.3027,-4.2703
2016-05-01,-0.448,-1.8323,1.2916,1.8274,3.0491
2016-06-01,-0.6059,1.6163,-1.1206,0.2991,-4.1096
2016-07-01,3.8314,2.7457,-1.0356,-1.6899,0.5143
2016-08-01,-4.7803,-1.8245,2.7443,1.0448,5.7419
2016-09-01,3.3645,-0.3942,-4.2083,1.6344,-14.6237
2016-10-01,-4.7205,-1.8093,2.8084,0.8861,4.7859
2016-11-01,6.7966,1.881,0.2732,-1.5615,5.2284
2016-12-01,-0.1172,0.6594,-1.3232,-1.2227,-2.4557
2017-01-01,-5.8182,2.9197,4.9103,6.6577,2.1663
2017-02-01,5.4477,-2.7096,-2.7068,-3.1054,-1.9484
2017-03-01,-1.8909,0.8411,2.0093,1.9747,2.9807
2017-04-01,4.8184,-2.2799,-3.5795,-3.873,-2.9512
2017-05-01,-4.3507,3.8885,3.516,2.7411,4.9123
2017-06-01,8.2218,2.8848,3.6622,1.3822,9.8105
2017-07-01,-1.0626,-2.449,-2.2881,-1.8072,-3.0457
2017-08-01,0.6092,0.4002,-0.0749,0.1937,-2.199
2017-09-01,0.7011,-1.2502,-0.8436,2.8037,-4.3362
2017-10-01,1.3924,2.4037,2.042,0.9091,2.798
2017-11-01,-2.138,-1.5589,-2.1123,-1.0252,-4.8993
2017-12-01,1.0365,-1.3287,-0.6436,1.1299,-0.8586
2018-01-01,4.4981,1.6787,0.743,-6.3004,11.5473
2018-02-01,-1.0421,2.0319,0.5862,6.7241,-8.3333
2018-03-01,4.0598,-0.0178,3.4029,3.1347,1.3552
2018-04-01,0.8654,-0.5869,-1.0727,1.4144,-3.7883
2018-05-01,2.0212,4.8122,0.9373,0.3561,2.7794
2018-06-01,3.0502,-1.6897,1.3474,0.0,2.6479
2018-07-01,-0.5533,-1.9271,0.1976,1.301,-0.8782
2018-08-01,0.2503,2.9386,-0.6096,-0.0876,-0.1661
2018-09-01,2.8163,-3.2674,-0.884,-0.9349,-2.1631
2018-10-01,-1.4438,5.0133,1.9658,1.9758,2.7778
2018-11-01,3.9704,-1.3713,3.4095,1.5327,6.8946
2018-12-01,-1.3827,-0.9955,-4.1257,-2.9621,-5.1084
2019-01-01,0.1736,0.3121,-0.09,3.2286,-7.2866
2019-02-01,-5.8118,-1.4172,1.8742,0.853,3.4018
2019-03-01,3.5522,-0.263,-1.9459,-0.5075,-4.1407
2019-04-01,-0.615,5.7479,4.2215,-0.7934,16.1538
2019-05-01,0.0413,-5.4854,-3.8255,-0.8283,-9.5772
2019-06-01,-1.1134,2.0225,0.324,0.0576,0.2817
2019-07-01,-2.1129,1.2067,4.7542,5.1813,2.9775
2019-08-01,1.9313,0.494,-3.117,-3.1199,-1.3639
2019-09-01,-0.7523,1.0678,1.7324,-2.6271,8.9602
2019-10-01,2.3161,-3.0522,-2.1546,0.1451,-7.665
2019-11-01,-5.5014,1.1417,0.7814,2.5782,-2.0341
2019-12-01,-2.7439,1.7787,1.6916,-1.525,8.3614
2020-01-01,6.3442,0.5041,-0.5198,2.1795,-6.3698
2020-02-01,-2.2179,0.1505,0.4006,-1.8524,8.0752
2020-03-01,-15.389,-13.6728,182.356,-16.1281,564.5343
2020-04-01,-21.8527,-22.0847,-29.149,-32.1173,-29.3801
2020-05-01,21.8411,101.8615,-59.0842,13.4606,-76.6739
2020-06-01,9.2124,-8.0659,9.7075,14.8296,4.9556
2020-07-01,6.5427,-15.4741,0.2898,16.4225,-18.6192
2020-08-01,-1.5467,-5.0,-7.2818,-2.947,-14.6141
2020-09-01,1.2755,-0.6329,6.4409,8.666,0.4487
2020-10-01,4.4079,2.0952,4.5481,3.956,8.2961
2020-11-01,0.3236,-3.2343,5.1344,-3.0806,23.571
2020-12-01,-0.6891,-5.3784,-0.5328,4.986,-9.1082
2021-01-01,5.7434,0.3765,-8.1414,-2.2855,-17.7859
2021-02-01,9.2851,3.8407,3.5763,2.4605,3.8928
2021-03-01,8.5857,5.935,2.9837,8.3309,-7.8624
2021-04-01,9.9659,-0.3248,3.8448,7.9091,-6.5333
2021-05-01,6.5055,-2.5578,-3.2286,-3.1955,-3.6377
2021-06-01,3.6669,9.2627,4.0979,5.2397,-1.1843
2021-07-01,6.4347,2.8309,1.3412,1.0456,5.618
2021-08-01,-1.0107,-4.8512,0.9797,2.7593,-5.5319
2021-09-01,-0.3495,3.7222,4.1362,4.3874,5.9309
2021-10-01,3.729,0.6936,-4.2824,-4.6164,-6.9454
2021-11-01,-0.347,3.4891,5.7377,7.2237,2.6657
2021-12-01,2.8663,-3.2557,-1.4373,-3.1215,4.0801
2022-01-01,-2.691,-3.8139,2.3595,2.2949,1.4255
2022-02-01,4.3533,5.7534,-4.178,-4.0789,-1.546
2022-03-01,5.1547,-2.6761,3.2576,5.0555,-1.7131
2022-04-01,-3.5769,-1.3748,-0.6957,1.1693,-4.7204
2022-05-01,-2.7485,-1.348,-0.9612,-5.8235,14.3293
2022-06-01,-2.1847,0.7298,-0.658,-1.6993,1.8667
2022-07-01,2.5968,-0.1387,-3.3118,-3.2173,-4.3194
2022-08-01,-12.8196,-0.4631,6.8334,5.6314,9.8495
2022-09-01,7.0155,-3.8306,-5.6428,-2.9122,-10.0249
2022-10-01,-3.2685,-0.8063,-1.7329,-4.3058,7.474
2022-11-01,1.7708,0.4715,1.677,3.2103,-5.2157
2022-12-01,2.5395,-0.2751,2.0915,1.0287,4.2799
2023-01-01,-5.3568,3.3588,-1.982,-6.9333,15.114
2023-02-01,-4.4679,-5.9812,-2.0051,2.0318,-13.1296
2023-03-01,-2.0493,-1.0686,3.7628,-2.987,23.9739
2023-04-01,3.2211,-0.827,-6.9184,-4.8158,-13.0846
2023-05-01,-6.0004,4.1355,4.8474,10.5612,-6.8924
2023-06-01,-2.0068,-3.1214,-2.7397,-7.6519,7.6623
2023-07-01,-5.6972,-4.3185,-2.0423,-3.818,1.146
2023-08-01,6.8962,3.0677,1.5636,1.9426,-0.1193
2023-09-01,0.054,-1.2487,-2.5482,0.6352,-8.597
2023-10-01,-7.3334,-0.1386,0.4177,-1.921,6.0091
2023-11-01,0.2564,-3.9896,-0.651,0.056,-4.2514
2023-12-01,-0.9533,0.8672,-1.1649,-4.5861,8.4299
2024-01-01,-1.6667,0.1433,-1.1602,-1.905,-2.6113
2024-02-01,0.74,0.4829,2.7203,4.0335,3.1079
2024-03-01,-2.7725,-2.9548,-4.4985,-5.5428,-2.6596
2024-04-01,-8.2501,0.3118,1.9943,4.5303,-6.0109
2024-05-01,3.3603,0.4206,1.0056,-1.5125,12.8553
2024-06-01,-4.7032,-6.4639,-6.3053,-3.1305,-14.3102
2024-07-01,0.1348,5.7037,6.0606,2.4085,14.2953
2024-08-01,1.2658,-4.1621,-3.0427,-3.5427,-1.6365
2024-09-01,-7.6729,4.2852,-1.2629,-3.6111,5.7635
2024-10-01,6.2797,-3.6669,-0.4457,2.9459,-7.3034
2024-11-01,2.5342,-1.3963,0.3699,-5.1322,10.9697
2024-12-01,-3.5818,2.6576,-2.0753,1.1475,-7.7553
2025-01-01,1.8643,-1.0204,3.8027,3.825,2.9011
2025-02-01,-2.5434,-0.0382,0.8395,-1.561,7.4223
2025-03-01,-4.0044,1.8526,0.0568,9.6099,-14.5688
2025-04-01,2.1001,1.0876,-0.3404,-9.0278,13.9812
2025-05-01,2.9868,-1.1686,0.3416,4.5483,-8.0858
2025-06-01,-1.4501,-0.0188,2.7231,-1.004,10.2932
2025-07-01,-1.5963,-1.9148,-4.8233,-3.7492,-3.8524
2025-08-01,-2.3981,-1.5311,0.7157,-1.1814,3.386
2025-09-01,3.6132,1.9242,-0.8834,-3.3926,-0.8734
2025-10-01,0.0139,-1.2204,-0.6975,-0.3344,4.13
2025-11-01,-4.5188,-3.1081,-1.7561,4.6644,-12.2158
2025-12-01,-4.3237,5.0408,3.3366,3.3985,0.3614
2026-01-01,6.0458,0.4173,-1.8835,-2.7287,-2.1008
